tag,State,Population,AreaSqKm,Density
al,Alabama,4903185,135775,36.1
ak,Alaska,731545,1700134,0.4
az,Arizona,7278717,295274,24.7
ar,Arkansas,3017804,137741,21.9
ca,California,39512223,423999,93.2
co,Colorado,5758736,269618,21.4
ct,Connecticut,3565287,14359,248.3
de,Delaware,973764,5061,192.4
dc,District of Columbia,705749,176,4009.9
fl,Florida,21477737,170313,126.1
ga,Georgia,10617423,153952,69
hi,Hawaii,1415872,28314,50
id,Idaho,1787065,216456,8.3
il,Illinois,12671821,150007,84.5
in,Indiana,6732219,94327,71.4
ia,Iowa,3155070,145754,21.6
ks,Kansas,2913314,213110,13.7
ky,Kentucky,4467673,104664,42.7
la,Louisiana,4648794,134273,34.6
me,Maine,1344212,91652,14.7
md,Maryland,6045680,32134,188.1
ma,Massachusetts,6892503,27337,252.1
mi,Michigan,9986857,250737,39.8
mn,Minnesota,5639632,225182,25
ms,Mississippi,2976149,125444,23.7
mo,Missouri,6137428,180546,34
mt,Montana,1068778,380848,2.8
ne,Nebraska,1934408,200356,9.7
nv,Nevada,3080156,286367,10.8
nh,New Hampshire,1359711,24219,56.1
nj,New Jersey,8882190,22590,393.2
nm,New Mexico,2096829,314925,6.7
ny,New York,19453561,141090,137.9
nc,North Carolina,10488084,139396,75.2
nd,North Dakota,762062,183123,4.2
oh,Ohio,11689100,116104,100.7
ok,Oklahoma,3956971,181048,21.9
or,Oregon,4217737,254819,16.6
pa,Pennsylvania,12801989,119290,107.3
pr,Puerto Rico,3193694,9104,350.8
ri,Rhode Island,1059361,4002,264.7
sc,South Carolina,5148714,82898,62.1
sd,South Dakota,884659,199743,4.4
tn,Tennessee,6829174,109158,62.6
tx,Texas,28995881,695674,41.7
ut,Utah,3205958,219901,14.6
vt,Vermont,623989,24903,25.1
va,Virginia,8535519,110771,77.1
wa,Washington,7614893,184674,41.2
wv,West Virginia,1792147,62758,28.6
wi,Wisconsin,5822434,169652,34.3
wy,Wyoming,578759,253348,2.3
